USERID;NAME;SURNAME;EMAIL;GENDER;RACE;AGE;PROVINCE;SOCIAL_MEDIA_HANDLE;CHANNEL2;RECORDDATE2;TIME;DURATION_2
880213;Samuel;Wigfall;Samuel265@mailxyz.com;male;indian_asian;33;Gauteng;@Samuel26;Africa Magic;2016/03/30;21:13:00.000;00:00:11.000
2255459;Michel;Reisinger;Michel201@yahoo.com;male;black;22;Mpumalanga;@Michel20;SawSee;2016/03/09;10:51:00.000;00:00:15.000
2255459;Michel;Reisinger;Michel201@yahoo.com;male;black;22;Mpumalanga;@Michel20;Channel O;2016/03/29;04:23:00.000;00:07:54.000
808921;Filiberto;Pilot;Filiberto44@abcmail.com;male;black;24;Mpumalanga;@Filiberto4;Trace TV;2016/03/02;08:01:00.000;00:18:27.000
808921;Filiberto;Pilot;Filiberto44@abcmail.com;male;black;24;Mpumalanga;@Filiberto4;Channel O;2016/03/06;17:58:00.000;00:00:48.000
831683;Len;Paradis;Len443@mail.com;male;indian_asian;36;Kwazulu Natal;@Len44;CNN;2016/02/25;21:48:00.000;00:00:42.000
831683;Len;Paradis;Len443@mail.com;male;indian_asian;36;Kwazulu Natal;@Len44;Africa Magic;2016/02/25;17:59:00.000;00:00:00.000
831683;Len;Paradis;Len443@mail.com;male;indian_asian;36;Kwazulu Natal;@Len44;ICC Cricket World Cup 2011;2016/03/04;09:21:00.000;00:00:00.000
761775;Stacy;Mcculloch;Stacy271@yahoo.com;male;None;24;Gauteng;@Stacy27;Cartoon Network;2016/02/04;16:12:00.000;00:02:15.000
761775;Stacy;Mcculloch;Stacy271@yahoo.com;male;None;24;Gauteng;@Stacy27;SuperSport Blitz;2016/01/25;17:59:00.000;00:01:14.000
866131;Len;Gettys;Len445@mailxyz.com;male;black;44;Western Cape;@Len44;Boomerang;2016/03/07;19:16:00.000;00:00:03.000
904019;Cordie;Singer;Cordie345@mailxyz.com;female;black;25;Gauteng;@Cordie34;Africa Magic;2016/03/29;18:03:00.000;00:14:58.000
939575;Samuel;Sieren;Samuel261@yahoo.com;male;black;25;Gauteng;@Samuel26;Africa Magic;2016/03/10;23:30:00.000;00:01:22.000
808923;Art;Nicholls;Art405@mailxyz.com;male;other;23;Eastern Cape;@Art40;SuperSport Blitz;2016/02/21;20:03:00.000;00:01:12.000
808923;Art;Nicholls;Art405@mailxyz.com;male;other;23;Eastern Cape;@Art40;Trace TV;2016/02/17;20:45:00.000;00:13:21.000
933014;Bernardo;Marek;Bernardo324@abcmail.com;male;black;19;Limpopo;@Bernardo32;Boomerang;2016/03/31;01:24:00.000;00:00:00.000
892461;Bernardo;Paradis;Bernardo323@mail.com;male;indian_asian;30;Kwazulu Natal;@Bernardo32;SawSee;2016/03/12;10:24:00.000;00:01:18.000
892461;Bernardo;Paradis;Bernardo323@mail.com;male;indian_asian;30;Kwazulu Natal;@Bernardo32;SawSee;2016/03/09;05:54:00.000;00:00:00.000
2255463;Filiberto;Curran;Filiberto41@yahoo.com;male;black;43;Gauteng;@Filiberto4;Boomerang;2016/03/31;15:17:00.000;00:00:54.000
808926;Bret;Mccollum;Bret313@mail.com;male;coloured;22;Western Cape;@Bret31;Supersport Live Events;2016/02/19;09:20:00.000;01:29:08.000
808926;Bret;Mccollum;Bret313@mail.com;male;coloured;22;Western Cape;@Bret31;Channel O;2016/02/21;08:27:00.000;00:01:48.000
808926;Bret;Mccollum;Bret313@mail.com;male;coloured;22;Western Cape;@Bret31;Trace TV;2016/02/02;12:17:00.000;00:01:06.000
808926;Bret;Mccollum;Bret313@mail.com;male;coloured;22;Western Cape;@Bret31;Supersport Live Events;2016/02/25;08:38:00.000;00:03:14.000
808926;Bret;Mccollum;Bret313@mail.com;male;coloured;22;Western Cape;@Bret31;Cartoon Network;2016/02/18;14:00:00.000;00:21:11.000
771783;Len;Pascarella;Len442@gmail.com;male;indian_asian;23;Gauteng;@Len44;Trace TV;2016/02/01;14:51:00.000;00:04:45.000
771783;Len;Pascarella;Len442@gmail.com;male;indian_asian;23;Gauteng;@Len44;SawSee;2016/01/30;23:43:00.000;00:00:13.000
2368357;Kip;Curran;Kip141@yahoo.com;male;black;37;Gauteng;@Kip14;SuperSport Blitz;2016/03/02;14:32:00.000;00:03:52.000
2368357;Kip;Curran;Kip141@yahoo.com;male;black;37;Gauteng;@Kip14;Supersport Live Events;2016/03/08;12:46:00.000;00:00:56.000
2368357;Kip;Curran;Kip141@yahoo.com;male;black;37;Gauteng;@Kip14;Cartoon Network;2016/03/08;17:28:00.000;00:00:00.000
2368357;Kip;Curran;Kip141@yahoo.com;male;black;37;Gauteng;@Kip14;Trace TV;2016/03/08;17:28:00.000;00:00:00.000
788616;Winona;Wigfall;Winona482@gmail.com;female;black;44;Gauteng;@Winona48;SuperSport Blitz;2016/01/27;14:03:00.000;00:00:06.000
771785;Kip;Martello;Kip141@yahoo.com;male;black;43;Gauteng;@Kip14;ICC Cricket World Cup 2011;2016/02/28;18:53:00.000;00:00:46.000
630977;Stacy;Wigfall;Stacy274@abcmail.com;male;coloured;28;Gauteng;@Stacy27;Trace TV;2016/01/16;11:52:00.000;00:00:15.000
808928;Hugh;Borelli;Hugh13@mail.com;male;black;35;Gauteng;@Hugh1;Channel O;2016/02/13;21:35:00.000;00:05:30.000
808928;Hugh;Borelli;Hugh13@mail.com;male;black;35;Gauteng;@Hugh1;ICC Cricket World Cup 2011;2016/03/01;14:15:00.000;00:00:00.000
831694;Filiberto;Tancredi;Filiberto41@yahoo.com;male;None;25;Limpopo;@Filiberto4;Africa Magic;2016/03/01;00:07:00.000;00:00:02.000
808929;Winona;Wigfall;Winona141@yahoo.com;female;black;32;Eastern Cape;@Winona14;Africa Magic;2016/01/11;20:18:00.000;00:00:57.000
808929;Winona;Wigfall;Winona141@yahoo.com;female;black;32;Eastern Cape;@Winona14;Cartoon Network;2016/01/24;20:35:00.000;01:32:32.000
892465;Bret;Luthy;Bret314@abcmail.com;male;black;36;Gauteng;@Bret31;Cartoon Network;2016/03/13;20:39:00.000;00:02:31.000
892465;Bret;Luthy;Bret314@abcmail.com;male;black;36;Gauteng;@Bret31;Channel O;2016/03/14;12:38:00.000;00:00:36.000
892465;Bret;Luthy;Bret314@abcmail.com;male;black;36;Gauteng;@Bret31;CNN;2016/03/18;16:04:00.000;00:00:37.000
892465;Bret;Luthy;Bret314@abcmail.com;male;black;36;Gauteng;@Bret31;Vuzu;2016/03/19;09:23:00.000;00:00:20.000
892465;Bret;Luthy;Bret314@abcmail.com;male;black;36;Gauteng;@Bret31;Africa Magic;2016/03/31;12:45:00.000;00:00:08.000
892465;Bret;Luthy;Bret314@abcmail.com;male;black;36;Gauteng;@Bret31;Africa Magic;2016/03/30;16:13:00.000;00:00:26.000
820335;Shane;Roquemore;Shane22@gmail.com;male;indian_asian;17;Gauteng;@Shane2;ICC Cricket World Cup 2011;2016/03/08;11:19:00.000;00:22:56.000
820335;Shane;Roquemore;Shane22@gmail.com;male;indian_asian;17;Gauteng;@Shane2;Cartoon Network;2016/03/19;07:10:00.000;00:00:06.000
820335;Shane;Roquemore;Shane22@gmail.com;male;indian_asian;17;Gauteng;@Shane2;ICC Cricket World Cup 2011;2016/03/12;11:38:00.000;00:00:38.000
820335;Shane;Roquemore;Shane22@gmail.com;male;indian_asian;17;Gauteng;@Shane2;ICC Cricket World Cup 2011;2016/03/12;11:48:00.000;00:01:52.000
820335;Shane;Roquemore;Shane22@gmail.com;male;indian_asian;17;Gauteng;@Shane2;ICC Cricket World Cup 2011;2016/03/09;15:14:00.000;00:27:16.000
820335;Shane;Roquemore;Shane22@gmail.com;male;indian_asian;17;Gauteng;@Shane2;ICC Cricket World Cup 2011;2016/03/26;14:44:00.000;00:04:22.000
830836;Yong;Holt;Yong485@mailxyz.com;male;None;21;Free State;@Yong48;Boomerang;2016/03/02;13:07:00.000;00:00:07.000
770963;None;None;Roxane52@gmail.com;None;None;0;None;None;Supersport Live Events;2016/03/24;11:45:00.000;00:23:04.000
770963;None;None;Roxane52@gmail.com;None;None;0;None;None;ICC Cricket World Cup 2011;2016/02/25;11:28:00.000;00:06:10.000
904035;Jacinto;Hier;Jacinto252@gmail.com;male;black;23;Gauteng;@Jacinto25;E! Entertainment;2016/03/29;21:34:00.000;00:05:42.000
868888;Donald;Mccown;Donald223@mail.com;male;indian_asian;21;Gauteng;@Donald22;ICC Cricket World Cup 2011;2016/03/30;13:55:00.000;00:06:54.000
808930;Claud;Marek;Claud345@mailxyz.com;male;indian_asian;35;Limpopo;@Claud34;Supersport Live Events;2016/02/22;10:29:00.000;00:01:28.000
808930;Claud;Marek;Claud345@mailxyz.com;male;indian_asian;35;Limpopo;@Claud34;ICC Cricket World Cup 2011;2016/03/02;11:38:00.000;00:04:30.000
808930;Claud;Marek;Claud345@mailxyz.com;male;indian_asian;35;Limpopo;@Claud34;ICC Cricket World Cup 2011;2016/03/11;10:40:00.000;00:00:00.000
808930;Claud;Marek;Claud345@mailxyz.com;male;indian_asian;35;Limpopo;@Claud34;ICC Cricket World Cup 2011;2016/02/24;13:23:00.000;00:03:56.000
808930;Claud;Marek;Claud345@mailxyz.com;male;indian_asian;35;Limpopo;@Claud34;ICC Cricket World Cup 2011;2016/02/24;10:33:00.000;00:03:44.000
808930;Claud;Marek;Claud345@mailxyz.com;male;indian_asian;35;Limpopo;@Claud34;Supersport Live Events;2016/02/27;19:11:00.000;00:00:28.000
808930;Claud;Marek;Claud345@mailxyz.com;male;indian_asian;35;Limpopo;@Claud34;ICC Cricket World Cup 2011;2016/02/23;17:26:00.000;00:00:08.000
808930;Claud;Marek;Claud345@mailxyz.com;male;indian_asian;35;Limpopo;@Claud34;ICC Cricket World Cup 2011;2016/03/30;14:19:00.000;00:23:08.000
879414;Loyd;Caves;Loyd495@mailxyz.com;male;coloured;30;Western Cape;@Loyd49;CNN;2016/03/31;23:19:00.000;00:00:52.000
771791;Shane;Luthy;Shane24@abcmail.com;male;black;34;Gauteng;@Shane2;Channel O;2016/03/14;13:51:00.000;00:02:54.000
771791;Shane;Luthy;Shane24@abcmail.com;male;black;34;Gauteng;@Shane2;M-Net;2016/03/06;07:02:00.000;00:01:43.000
819259;Dia;Arrieta;Dia475@mailxyz.com;female;white;10;Western Cape;@Dia47;Supersport Live Events;2016/02/26;17:53:00.000;00:01:44.000
2285528;Filiberto;Crotty;Filiberto44@abcmail.com;male;None;26;Western Cape;@Filiberto4;ICC Cricket World Cup 2011;2016/03/15;12:20:00.000;00:53:50.000
868892;Raymundo;Creager;Raymundo432@gmail.com;male;black;20;Gauteng;@Raymundo43;Trace TV;2016/03/12;16:47:00.000;00:05:54.000
808971;Jacinto;Mccollum;Jacinto254@abcmail.com;male;black;36;Gauteng;@Jacinto25;Boomerang;2016/02/08;12:45:00.000;00:00:14.000
868892;Raymundo;Creager;Raymundo432@gmail.com;male;black;20;Gauteng;@Raymundo43;Channel O;2016/03/10;12:50:00.000;00:01:42.000
866251;Filiberto;Mina;Filiberto41@yahoo.com;male;black;30;Gauteng;@Filiberto4;Boomerang;2016/03/10;21:13:00.000;00:04:31.000
779369;Dee;Mastrangelo;Dee211@yahoo.com;male;black;36;Gauteng;@Dee21;CNN;2016/02/11;21:35:00.000;00:20:39.000
779369;Dee;Mastrangelo;Dee211@yahoo.com;male;black;36;Gauteng;@Dee21;E! Entertainment;2016/01/20;07:20:00.000;00:06:16.000
779369;Dee;Mastrangelo;Dee211@yahoo.com;male;black;36;Gauteng;@Dee21;CNN;2016/01/18;15:06:00.000;00:13:19.000
1281997;Carlota;Tancredi;Carlota273@mail.com;female;coloured;14;Free State;@Carlota27;Cartoon Network;2016/02/20;18:51:00.000;00:00:35.000
615057;Anette;Leicht;Anette341@yahoo.com;female;black;25;Limpopo;@Anette34;Channel O;2016/01/10;09:34:00.000;00:14:12.000
786055;Williemae;Holt;Williemae484@abcmail.com;female;white;25;Gauteng;@Williemae48;Channel O;2016/01/19;20:42:00.000;00:01:03.000
786055;Williemae;Holt;Williemae484@abcmail.com;female;white;25;Gauteng;@Williemae48;DStv Events 1;2016/01/18;19:49:00.000;00:02:25.000
850656;Carter;Hoadley;Carter33@mail.com;male;black;26;Mpumalanga;@Carter3;Africa Magic;2016/03/05;23:12:00.000;00:00:17.000
850656;Carter;Hoadley;Carter33@mail.com;male;black;26;Mpumalanga;@Carter3;Channel O;2016/03/06;07:25:00.000;00:00:00.000
850656;Carter;Hoadley;Carter33@mail.com;male;black;26;Mpumalanga;@Carter3;Africa Magic;2016/03/06;09:09:00.000;00:00:00.000
2368365;Loyd;Pascarella;Loyd494@abcmail.com;male;coloured;27;Limpopo;@Loyd49;ICC Cricket World Cup 2011;2016/03/30;13:17:00.000;00:38:12.000
764296;Royal;Pascarella;Royal175@mailxyz.com;male;coloured;23;Western Cape;@Royal17;E! Entertainment;2016/02/04;10:42:00.000;00:02:26.000
764296;Royal;Pascarella;Royal175@mailxyz.com;male;coloured;23;Western Cape;@Royal17;Trace TV;2016/02/01;22:10:00.000;00:00:00.000
779373;Loyd;Beville;Loyd492@gmail.com;male;black;40;Limpopo;@Loyd49;CNN;2016/02/28;07:58:00.000;00:06:27.000
771793;Anette;Leicht;Anette143@mail.com;female;indian_asian;40;Western Cape;@Anette14;Supersport Live Events;2016/01/05;23:33:00.000;00:04:56.000
771793;Anette;Leicht;Anette143@mail.com;female;indian_asian;40;Western Cape;@Anette14;Supersport Live Events;2016/01/10;06:43:00.000;00:00:00.000
771793;Anette;Leicht;Anette143@mail.com;female;indian_asian;40;Western Cape;@Anette14;Trace TV;2016/02/18;22:23:00.000;00:00:42.000
771793;Anette;Leicht;Anette143@mail.com;female;indian_asian;40;Western Cape;@Anette14;Trace TV;2016/02/12;02:38:00.000;00:02:33.000
1106084;Hyman;Mosser;Hyman82@gmail.com;male;black;37;Gauteng;@Hyman8;Channel O;2016/03/22;20:50:00.000;00:11:39.000
1106084;Hyman;Mosser;Hyman82@gmail.com;male;black;37;Gauteng;@Hyman8;Supersport Live Events;2016/03/05;19:30:00.000;00:00:54.000
1106084;Hyman;Mosser;Hyman82@gmail.com;male;black;37;Gauteng;@Hyman8;ICC Cricket World Cup 2011;2016/03/06;11:20:00.000;00:11:24.000
1106084;Hyman;Mosser;Hyman82@gmail.com;male;black;37;Gauteng;@Hyman8;Trace TV;2016/03/09;06:54:00.000;00:03:24.000
1106084;Hyman;Mosser;Hyman82@gmail.com;male;black;37;Gauteng;@Hyman8;Channel O;2016/03/09;20:00:00.000;00:04:39.000
868895;Kip;Paradis;Kip144@abcmail.com;male;coloured;23;Western Cape;@Kip14;Trace TV;2016/03/14;01:35:00.000;00:13:48.000
868895;Kip;Paradis;Kip144@abcmail.com;male;coloured;23;Western Cape;@Kip14;ICC Cricket World Cup 2011;2016/03/12;14:18:00.000;00:38:02.000
868895;Kip;Paradis;Kip144@abcmail.com;male;coloured;23;Western Cape;@Kip14;Trace TV;2016/03/12;14:19:00.000;00:01:09.000
868895;Kip;Paradis;Kip144@abcmail.com;male;coloured;23;Western Cape;@Kip14;ICC Cricket World Cup 2011;2016/03/16;02:02:00.000;00:02:00.000
868895;Kip;Paradis;Kip144@abcmail.com;male;coloured;23;Western Cape;@Kip14;Channel O;2016/03/16;02:14:00.000;00:03:18.000
808934;Claud;Woolard;Claud344@abcmail.com;male;indian_asian;36;Kwazulu Natal;@Claud34;Supersport Live Events;2016/03/24;14:17:00.000;00:12:40.000
808934;Claud;Woolard;Claud344@abcmail.com;male;indian_asian;36;Kwazulu Natal;@Claud34;Boomerang;2016/03/11;18:58:00.000;00:05:30.000
808934;Claud;Woolard;Claud344@abcmail.com;male;indian_asian;36;Kwazulu Natal;@Claud34;Supersport Live Events;2016/02/06;08:56:00.000;00:00:00.000
808934;Claud;Woolard;Claud344@abcmail.com;male;indian_asian;36;Kwazulu Natal;@Claud34;Trace TV;2016/02/06;12:38:00.000;00:04:03.000
808934;Claud;Woolard;Claud344@abcmail.com;male;indian_asian;36;Kwazulu Natal;@Claud34;Supersport Live Events;2016/02/06;21:55:00.000;00:03:38.000
808934;Claud;Woolard;Claud344@abcmail.com;male;indian_asian;36;Kwazulu Natal;@Claud34;Trace TV;2016/03/06;14:38:00.000;00:04:57.000
808934;Claud;Woolard;Claud344@abcmail.com;male;indian_asian;36;Kwazulu Natal;@Claud34;SuperSport Blitz;2016/02/12;19:16:00.000;00:02:42.000
808934;Claud;Woolard;Claud344@abcmail.com;male;indian_asian;36;Kwazulu Natal;@Claud34;Supersport Live Events;2016/03/06;15:58:00.000;00:01:02.000
808934;Claud;Woolard;Claud344@abcmail.com;male;indian_asian;36;Kwazulu Natal;@Claud34;Supersport Live Events;2016/03/06;16:00:00.000;00:01:38.000
808934;Claud;Woolard;Claud344@abcmail.com;male;indian_asian;36;Kwazulu Natal;@Claud34;Supersport Live Events;2016/03/27;18:07:00.000;00:01:30.000
939592;Brendan;Mccown;Brendan455@mailxyz.com;male;coloured;34;Western Cape;@Brendan45;Supersport Live Events;2016/03/27;16:51:00.000;00:17:32.000
771796;Jacinto;Mcclaine;Jacinto251@yahoo.com;male;coloured;35;Western Cape;@Jacinto25;SuperSport Blitz;2016/02/05;17:17:00.000;00:27:14.000
771796;Jacinto;Mcclaine;Jacinto251@yahoo.com;male;coloured;35;Western Cape;@Jacinto25;Supersport Live Events;2016/03/24;12:46:00.000;00:02:28.000
771796;Jacinto;Mcclaine;Jacinto251@yahoo.com;male;coloured;35;Western Cape;@Jacinto25;Channel O;2016/02/06;18:10:00.000;00:00:51.000
771796;Jacinto;Mcclaine;Jacinto251@yahoo.com;male;coloured;35;Western Cape;@Jacinto25;Supersport Live Events;2016/02/06;18:18:00.000;00:00:18.000
771796;Jacinto;Mcclaine;Jacinto251@yahoo.com;male;coloured;35;Western Cape;@Jacinto25;Supersport Live Events;2016/03/27;18:58:00.000;00:24:10.000
771796;Jacinto;Mcclaine;Jacinto251@yahoo.com;male;coloured;35;Western Cape;@Jacinto25;Supersport Live Events;2016/03/26;19:00:00.000;01:44:38.000
889840;Stefan;Paradis;Stefan463@mail.com;male;black;31;Mpumalanga;@Stefan46;Supersport Live Events;2016/03/20;22:18:00.000;00:00:00.000
2368371;Markus;Arrieta;Markus195@mailxyz.com;male;coloured;44;Western Cape;@Markus19;Supersport Live Events;2016/03/26;12:25:00.000;00:08:12.000
617535;Stefan;Reisinger;Stefan464@abcmail.com;male;indian_asian;40;Gauteng;@Stefan46;Africa Magic;2016/01/11;22:08:00.000;00:00:11.000
617961;Robby;Mosser;Robby165@mailxyz.com;male;indian_asian;30;Mpumalanga;@Robby16;Boomerang;2016/01/31;00:06:00.000;00:09:11.000
771797;Randy;Beville;Randy395@mailxyz.com;male;None;35;Gauteng;@Randy39;SuperSport Blitz;2016/02/03;15:31:00.000;00:00:32.000
67584;Hollis;Caves;Hollis383@mail.com;male;white;58;Western Cape;@Hollis38;Supersport Live Events;2016/01/18;17:04:00.000;00:05:58.000
808936;Valentine;Slane;Valentine474@abcmail.com;male;white;23;Gauteng;@Valentine47;Supersport Live Events;2016/03/24;14:31:00.000;00:05:50.000
808936;Valentine;Slane;Valentine474@abcmail.com;male;white;23;Gauteng;@Valentine47;Supersport Live Events;2016/02/18;12:25:00.000;00:00:00.000
590480;Mellie;Creager;Mellie411@yahoo.com;female;indian_asian;10;Western Cape;@Mellie41;Africa Magic;2016/01/04;18:11:00.000;00:02:47.000
831713;Katharina;Condie;Katharina265@mailxyz.com;female;black;26;North West;@Katharina26;Trace TV;2016/03/14;09:08:00.000;00:07:06.000
831713;Katharina;Condie;Katharina265@mailxyz.com;female;black;26;North West;@Katharina26;Trace TV;2016/03/07;16:45:00.000;00:15:21.000
817216;Michel;Marek;Michel201@yahoo.com;male;white;31;Kwazulu Natal;@Michel20;ICC Cricket World Cup 2011;2016/02/24;17:57:00.000;00:02:56.000
817216;Michel;Marek;Michel201@yahoo.com;male;white;31;Kwazulu Natal;@Michel20;M-Net;2016/02/25;23:13:00.000;00:00:00.000
2406478;Raymundo;Luthy;Raymundo434@abcmail.com;male;;39;Eastern Cape;@Raymundo43;Supersport Live Events;2016/03/26;15:50:00.000;00:07:00.000
793592;None;None;Krysta494@abcmail.com;None;None;0;None;None;Channel O;2016/03/21;14:34:00.000;01:06:21.000
904063;Emerson;Luthy;Emerson241@yahoo.com;male;black;34;Gauteng;@Emerson24;Cartoon Network;2016/03/26;00:02:00.000;00:00:17.000
904063;Emerson;Luthy;Emerson241@yahoo.com;male;black;34;Gauteng;@Emerson24;Cartoon Network;2016/03/26;22:09:00.000;00:00:15.000
586459;Lucas;Hier;Lucas233@mail.com;male;black;22;Free State;@Lucas23;Cartoon Network;2016/01/02;11:49:00.000;00:05:10.000
791320;Shandra;Mccollum;Shandra411@yahoo.com;female;indian_asian;37;Kwazulu Natal;@Shandra41;ICC Cricket World Cup 2011;2016/03/05;14:57:00.000;00:00:14.000
791320;Shandra;Mccollum;Shandra411@yahoo.com;female;indian_asian;37;Kwazulu Natal;@Shandra41;ICC Cricket World Cup 2011;2016/03/06;11:33:00.000;00:13:04.000
791320;Shandra;Mccollum;Shandra411@yahoo.com;female;indian_asian;37;Kwazulu Natal;@Shandra41;ICC Cricket World Cup 2011;2016/03/06;10:32:00.000;00:13:54.000
771802;Valentine;Curran;Valentine475@mailxyz.com;male;coloured;43;Western Cape;@Valentine47;Boomerang;2016/01/02;14:42:00.000;00:09:55.000
771802;Valentine;Curran;Valentine475@mailxyz.com;male;coloured;43;Western Cape;@Valentine47;Supersport Live Events;2016/01/30;16:11:00.000;01:23:54.000
771802;Valentine;Curran;Valentine475@mailxyz.com;male;coloured;43;Western Cape;@Valentine47;CNN;2016/01/01;13:25:00.000;00:00:21.000
771802;Valentine;Curran;Valentine475@mailxyz.com;male;coloured;43;Western Cape;@Valentine47;Supersport Live Events;2016/01/08;16:50:00.000;00:06:06.000
771802;Valentine;Curran;Valentine475@mailxyz.com;male;coloured;43;Western Cape;@Valentine47;CNN;2016/01/01;04:37:00.000;00:01:06.000
771802;Valentine;Curran;Valentine475@mailxyz.com;male;coloured;43;Western Cape;@Valentine47;Supersport Live Events;2016/02/12;18:51:00.000;01:19:52.000
808941;Michel;Curran;Michel204@abcmail.com;male;coloured;36;Western Cape;@Michel20;SuperSport Blitz;2016/03/01;02:30:00.000;00:00:32.000
600713;Chas;Mccown;Chas351@yahoo.com;male;black;31;Kwazulu Natal;@Chas35;Channel O;2016/01/01;16:32:00.000;00:47:18.000
600713;Chas;Mccown;Chas351@yahoo.com;male;black;31;Kwazulu Natal;@Chas35;Channel O;2016/01/13;16:27:00.000;00:00:27.000
2407123;Kyle;Holt;Kyle64@abcmail.com;male;black;24;Mpumalanga;@Kyle6;Boomerang;2016/03/14;09:40:00.000;00:00:44.000
2407123;Kyle;Holt;Kyle64@abcmail.com;male;black;24;Mpumalanga;@Kyle6;Cartoon Network;2016/03/08;23:04:00.000;00:08:40.000
2407123;Kyle;Holt;Kyle64@abcmail.com;male;black;24;Mpumalanga;@Kyle6;ICC Cricket World Cup 2011;2016/03/06;11:48:00.000;00:00:06.000
939600;Wilton;Mccown;Wilton414@abcmail.com;male;black;31;Gauteng;@Wilton41;Africa Magic;2016/03/19;04:07:00.000;00:00:14.000
939600;Wilton;Mccown;Wilton414@abcmail.com;male;black;31;Gauteng;@Wilton41;ICC Cricket World Cup 2011;2016/03/20;16:34:00.000;00:00:42.000
939600;Wilton;Mccown;Wilton414@abcmail.com;male;black;31;Gauteng;@Wilton41;Supersport Live Events;2016/03/20;17:36:00.000;00:01:14.000
939602;Lane;Mastrangelo;Lane112@gmail.com;male;coloured;18;Eastern Cape;@Lane11;Channel O;2016/03/22;18:45:00.000;00:15:03.000
939602;Lane;Mastrangelo;Lane112@gmail.com;male;coloured;18;Eastern Cape;@Lane11;Cartoon Network;2016/03/18;22:38:00.000;00:00:00.000
